Nombre,Categoria,Precio,Calidad
FantasyWarrior,Battle Royale,19658,3
EmpireGalaxy,Puzzle,57172,17
HeroWarrior,Estrategia,43308,30
FantasyEmpire,Estrategia,33663,5
EmpireHero,RPG,28304,29
WarriorAdventure,Aventura,15831,7
WarriorDragon,Carreras,32025,28
ChronicleAdventure,Plataforma,68474,88
KingdomAdventure,Carreras,9554,5
LegendsKingdom,Puzzle,47269,36
FantasyWarrior,RPG,45101,76
FantasyDragon,Simulación,42647,85
AdventureShadow,Carreras,66307,9
ShadowFantasy,Puzzle,68054,52
WarriorQuest,Deportes,60560,74
EmpireHero,MMORPG,35626,11
AdventureDragon,Aventura,9034,98
DragonChronicle,Aventura,52853,89
KingdomWarrior,Battle Royale,42835,7
GalaxyAdventure,Plataforma,22608,20
GalaxyWarrior,FPS,30277,1
LegendsChronicle,Carreras,56823,87
EmpireHero,Aventura,53806,82
ShadowEmpire,Estrategia,11106,88
ShadowChronicle,Battle Royale,14233,46
DragonKingdom,Carreras,10249,66
LegendsFantasy,Estrategia,14245,29
DragonQuest,Deportes,19619,56
LegendsDragon,Battle Royale,57875,7
AdventureKingdom,Carreras,64581,76
DragonFantasy,FPS,33897,82
AdventureChronicle,Puzzle,8473,8
GalaxyWarrior,MMORPG,37477,85
ChronicleChronicle,Acción,54747,33
ChronicleFantasy,RPG,33994,76
ChronicleShadow,MMORPG,26887,41
ShadowFantasy,Simulación,14613,97
ChronicleGalaxy,Puzzle,11290,7
HeroKingdom,Estrategia,38056,3
QuestQuest,Aventura,23643,14
ShadowAdventure,Plataforma,18708,30
FantasyFantasy,Acción,18553,50
LegendsHero,MMORPG,53933,62
ChronicleLegends,Battle Royale,5018,76
ShadowEmpire,Estrategia,3759,86
EmpireKingdom,RPG,4301,48
EmpireChronicle,Estrategia,33250,30
DragonHero,Puzzle,52298,23
DragonQuest,Plataforma,58343,69
LegendsAdventure,Estrategia,36820,28
GalaxyShadow,Plataforma,10349,25
HeroChronicle,Battle Royale,49217,99
WarriorAdventure,RPG,61726,88
AdventureWarrior,Aventura,40837,61
FantasyChronicle,Simulación,17824,84
FantasyAdventure,Acción,46956,97
DragonGalaxy,Plataforma,54381,0
WarriorWarrior,MMORPG,40667,73
LegendsAdventure,Battle Royale,6445,53
WarriorFantasy,RPG,47860,49
KingdomAdventure,Plataforma,36195,16
DragonKingdom,Puzzle,39007,36
EmpireChronicle,Aventura,33377,75
QuestEmpire,Simulación,14365,30
GalaxyWarrior,FPS,4360,62
QuestLegends,Battle Royale,40753,50
EmpireChronicle,Carreras,47114,77
KingdomFantasy,Aventura,2049,83
GalaxyChronicle,Carreras,34349,43
GalaxyAdventure,Acción,30233,66
AdventureEmpire,Plataforma,63172,49
AdventureDragon,Acción,9448,76
DragonGalaxy,Plataforma,24911,27
AdventureKingdom,Plataforma,66119,20
ShadowFantasy,Estrategia,2785,25
WarriorEmpire,Deportes,10452,39
DragonChronicle,FPS,37373,48
LegendsGalaxy,Acción,1328,90
WarriorQuest,RPG,42803,63
ShadowChronicle,RPG,25730,59
AdventureHero,Aventura,17774,64
FantasyHero,Battle Royale,53911,59
DragonChronicle,FPS,58167,6
DragonWarrior,RPG,24314,60
AdventureFantasy,Simulación,69089,62
HeroFantasy,Deportes,34998,92
HeroWarrior,Aventura,8351,7
ShadowQuest,RPG,57180,89
KingdomLegends,Puzzle,62596,55
EmpireChronicle,Carreras,69319,26
FantasyDragon,MMORPG,8931,10
LegendsWarrior,MMORPG,68658,38
DragonWarrior,MMORPG,31672,94
QuestAdventure,MMORPG,25172,66
WarriorEmpire,Aventura,23661,24
EmpireGalaxy,Deportes,992,75
HeroLegends,Carreras,20328,35
GalaxyEmpire,MMORPG,689,81
KingdomGalaxy,Carreras,14393,49
KingdomQuest,Estrategia,29382,81
FantasyShadow,Aventura,28435,61
WarriorShadow,Estrategia,36267,89
DragonDragon,RPG,45361,31
GalaxyShadow,Simulación,28604,47
EmpireGalaxy,Battle Royale,5108,31
ChronicleChronicle,Battle Royale,45964,9
HeroFantasy,MMORPG,31566,53
ChronicleGalaxy,Carreras,31526,80
WarriorDragon,Estrategia,67463,51
WarriorHero,RPG,9600,60
ShadowChronicle,Plataforma,6319,41
KingdomGalaxy,Carreras,32570,76
EmpireAdventure,RPG,15870,77
EmpireLegends,Carreras,22619,86
GalaxyQuest,Puzzle,68345,60
FantasyHero,Carreras,51005,0
LegendsGalaxy,Puzzle,68990,91
WarriorFantasy,FPS,63003,6
ShadowChronicle,FPS,2507,91
FantasyShadow,Deportes,27295,84
ChronicleKingdom,Plataforma,52318,56
AdventureDragon,Aventura,29149,29
KingdomChronicle,Battle Royale,44923,35
QuestKingdom,Deportes,12794,39
GalaxyKingdom,Puzzle,54396,68
LegendsAdventure,Plataforma,600,25
AdventureLegends,FPS,26083,86
HeroWarrior,Aventura,31746,9
WarriorWarrior,Puzzle,30665,40
EmpireGalaxy,MMORPG,9913,18
AdventureQuest,Deportes,55244,6
ChronicleGalaxy,Puzzle,19409,35
KingdomChronicle,Acción,57756,27
HeroFantasy,Aventura,24883,32
ChronicleHero,Aventura,51634,65
WarriorShadow,Battle Royale,59910,99
WarriorShadow,Estrategia,6736,36
FantasyLegends,FPS,48751,93
DragonLegends,Plataforma,49908,75
ShadowFantasy,Carreras,28606,53
QuestAdventure,FPS,54373,34
ShadowFantasy,Puzzle,42470,37
AdventureAdventure,Carreras,38342,10
DragonLegends,RPG,41340,18
HeroWarrior,Simulación,16587,23
WarriorKingdom,Simulación,4951,10
KingdomKingdom,RPG,30732,27
HeroKingdom,Puzzle,35253,50
LegendsDragon,RPG,30894,87
QuestShadow,RPG,68194,35
AdventureDragon,Estrategia,22398,2
ShadowEmpire,Plataforma,22492,46
AdventureAdventure,Puzzle,63795,69
WarriorFantasy,Simulación,8634,54
FantasyLegends,Estrategia,3166,23
KingdomHero,Plataforma,14467,65
KingdomWarrior,Estrategia,60172,17
AdventureWarrior,Simulación,15653,86
ShadowKingdom,Deportes,51869,78
KingdomGalaxy,Simulación,37683,74
GalaxyShadow,Acción,12365,22
QuestChronicle,Puzzle,31235,74
LegendsLegends,Puzzle,58902,91
GalaxyKingdom,RPG,56233,0
KingdomShadow,Carreras,59719,87
QuestChronicle,Aventura,24818,77
FantasyAdventure,MMORPG,8100,5
EmpireShadow,Battle Royale,1040,52
HeroFantasy,Simulación,5771,79
ShadowKingdom,MMORPG,21918,5
LegendsWarrior,Puzzle,23713,31
FantasyKingdom,Aventura,30399,71
ShadowHero,FPS,22356,98
HeroAdventure,Deportes,32549,75
ShadowChronicle,MMORPG,38858,21
LegendsGalaxy,Battle Royale,34296,16
FantasyKingdom,Puzzle,15498,56
LegendsDragon,Simulación,5567,1
AdventureAdventure,Aventura,60447,52
GalaxyDragon,Simulación,67271,54
HeroHero,Deportes,7296,13
FantasyEmpire,Battle Royale,50052,45
WarriorQuest,Battle Royale,67330,6
KingdomChronicle,Battle Royale,9399,95
ChronicleChronicle,MMORPG,56084,32
HeroLegends,Plataforma,55618,34
ChronicleGalaxy,Simulación,2082,51
KingdomEmpire,Carreras,57871,63
EmpireKingdom,Aventura,44114,66
DragonKingdom,Puzzle,14590,9
ShadowGalaxy,Acción,59996,60
ShadowDragon,Deportes,1446,7
ChronicleShadow,Plataforma,4438,67
ShadowKingdom,Carreras,33482,65
LegendsQuest,Estrategia,24255,29
ChronicleAdventure,Plataforma,17542,2
ShadowEmpire,Carreras,56904,74
ShadowEmpire,Battle Royale,64866,52
WarriorAdventure,Puzzle,43812,36
KingdomFantasy,Puzzle,44183,12
KingdomQuest,RPG,41597,52
ChronicleLegends,Acción,37653,63
AdventureChronicle,Battle Royale,45310,6
ShadowLegends,Simulación,56601,42
ShadowShadow,Carreras,31468,93
AdventureFantasy,Carreras,33445,42
FantasyQuest,Estrategia,34267,40
ChronicleGalaxy,Simulación,4237,72
ChronicleFantasy,Acción,63900,18
GalaxyDragon,Carreras,41379,19
ChronicleKingdom,Plataforma,2210,43
WarriorShadow,Aventura,45229,68
ChronicleHero,FPS,18,10
QuestGalaxy,RPG,24512,33
DragonKingdom,Deportes,14117,95
DragonLegends,Puzzle,66610,11
QuestAdventure,Aventura,24767,46
KingdomHero,Puzzle,36675,46
ChronicleLegends,FPS,11062,82
QuestHero,Aventura,10517,47
DragonGalaxy,Plataforma,30321,56
FantasyHero,FPS,15055,92
QuestWarrior,Acción,57200,31
QuestWarrior,Aventura,56406,10
QuestHero,Acción,40948,91
FantasyDragon,Plataforma,7501,24
ChronicleKingdom,MMORPG,19777,43
FantasyHero,Acción,45359,84
AdventureKingdom,FPS,30497,0
DragonHero,FPS,11214,99
DragonGalaxy,Acción,2385,17
LegendsLegends,Battle Royale,37914,18
HeroEmpire,Acción,8940,66
GalaxyChronicle,Estrategia,61513,74
HeroHero,MMORPG,8845,35
AdventureChronicle,Deportes,39938,48
QuestEmpire,FPS,44539,46
QuestEmpire,Carreras,64249,91
ChronicleKingdom,Battle Royale,56409,1
EmpireWarrior,Plataforma,53541,86
AdventureQuest,Puzzle,54023,23
AdventureChronicle,RPG,50434,2
GalaxyDragon,Puzzle,66958,77
ShadowKingdom,Puzzle,22778,100
HeroWarrior,Acción,7509,35
KingdomWarrior,Estrategia,42127,43
LegendsKingdom,MMORPG,34662,61
FantasyChronicle,RPG,42019,71
KingdomKingdom,Aventura,62162,14
GalaxyShadow,MMORPG,59876,37
EmpireAdventure,Battle Royale,55103,4
GalaxyKingdom,Deportes,24827,18
EmpireFantasy,FPS,66625,75
HeroKingdom,Simulación,18893,9
WarriorQuest,FPS,49274,67
GalaxyHero,Acción,63443,43
QuestKingdom,Puzzle,25424,19
WarriorShadow,FPS,29857,52
WarriorKingdom,Aventura,33022,59
HeroShadow,FPS,65089,51
AdventureFantasy,Deportes,49277,35
HeroQuest,Estrategia,6954,89
KingdomGalaxy,RPG,22835,74
ChronicleShadow,RPG,37560,40
FantasyWarrior,Aventura,62270,68
HeroDragon,Deportes,9862,83
QuestChronicle,Estrategia,14450,39
ShadowGalaxy,Acción,24382,81
ShadowShadow,Estrategia,20754,14
FantasyAdventure,MMORPG,68606,18
AdventureQuest,Battle Royale,53459,1
KingdomHero,Simulación,32210,3
EmpireKingdom,Puzzle,67008,40
KingdomHero,Aventura,8290,86
HeroEmpire,Simulación,12329,59
HeroEmpire,Estrategia,8592,93
LegendsAdventure,Plataforma,11236,46
DragonChronicle,Deportes,1634,38
QuestAdventure,FPS,57554,78
GalaxyWarrior,Acción,11583,34
WarriorWarrior,RPG,6191,57
GalaxyDragon,Simulación,29321,59
FantasyFantasy,Puzzle,19564,100
KingdomEmpire,Plataforma,31314,41
LegendsFantasy,RPG,38688,61
LegendsQuest,Puzzle,15152,100
QuestHero,Simulación,64827,96
FantasyWarrior,Battle Royale,40792,0
HeroAdventure,Aventura,33454,65
LegendsHero,Deportes,35069,88
ChronicleGalaxy,Acción,35382,98
LegendsLegends,MMORPG,57797,7
GalaxyQuest,Estrategia,42595,84
GalaxyDragon,Puzzle,5388,96
FantasyHero,Puzzle,57093,30
DragonLegends,Estrategia,66165,42
ShadowEmpire,MMORPG,19442,48
KingdomChronicle,FPS,29057,42
KingdomFantasy,Simulación,6549,78
HeroAdventure,Carreras,61956,15
EmpireShadow,FPS,9182,57
ShadowLegends,FPS,62181,25
GalaxyEmpire,Estrategia,53254,35
LegendsFantasy,Acción,6263,3
GalaxyAdventure,Aventura,69007,9
ChronicleShadow,Aventura,2588,98
LegendsDragon,Estrategia,55740,52
WarriorShadow,Deportes,13466,85
AdventureChronicle,Battle Royale,2776,17
LegendsGalaxy,Estrategia,39477,62
ChronicleLegends,Acción,6147,13
WarriorWarrior,Carreras,38171,35
LegendsDragon,FPS,4733,19
LegendsHero,Estrategia,28711,98
WarriorShadow,Carreras,59361,29
ShadowQuest,Carreras,27663,22
WarriorGalaxy,Estrategia,6995,11
WarriorEmpire,Deportes,50666,46
ChronicleLegends,MMORPG,44089,34
ShadowEmpire,Plataforma,43400,29
QuestDragon,Estrategia,59634,53
ChronicleLegends,MMORPG,6631,73
DragonQuest,Puzzle,20172,97
FantasyEmpire,Aventura,31570,68
AdventureLegends,Carreras,11079,3
KingdomLegends,FPS,17390,33
HeroEmpire,RPG,50499,63
DragonAdventure,Deportes,27687,8
HeroHero,Deportes,56726,34
HeroChronicle,Deportes,48303,86
HeroEmpire,RPG,29061,86
AdventureQuest,Plataforma,256,15
DragonLegends,Simulación,49502,74
HeroChronicle,Aventura,2825,64
ShadowFantasy,Puzzle,15210,46
LegendsWarrior,Plataforma,26720,3
AdventureGalaxy,FPS,51134,60
HeroHero,Puzzle,46195,96
DragonDragon,FPS,22911,40
ChronicleWarrior,Acción,18971,94
DragonEmpire,Aventura,13564,32
EmpireGalaxy,RPG,35836,94
HeroAdventure,Aventura,60374,16
GalaxyLegends,Estrategia,24801,27
AdventureHero,Battle Royale,45659,0
EmpireQuest,Estrategia,68077,86
KingdomLegends,Aventura,62030,95
ChronicleKingdom,MMORPG,60689,91
KingdomAdventure,Plataforma,6161,90
ChronicleWarrior,Acción,42511,33
QuestWarrior,Estrategia,10175,100
DragonDragon,Carreras,27511,35
WarriorQuest,MMORPG,59410,48
EmpireWarrior,Aventura,2509,17
WarriorAdventure,Aventura,25182,46
WarriorKingdom,Estrategia,10950,93
WarriorLegends,Aventura,55900,43
HeroWarrior,Carreras,19600,58
KingdomQuest,Deportes,60378,62
QuestDragon,Estrategia,62995,80
ChronicleEmpire,Battle Royale,67122,65
EmpireFantasy,FPS,2363,85
KingdomLegends,Deportes,64746,65
HeroHero,Estrategia,25915,3
FantasyEmpire,Puzzle,16130,40
ShadowAdventure,Battle Royale,17253,16
QuestQuest,Simulación,25757,76
DragonFantasy,RPG,50322,80
FantasyChronicle,RPG,35385,92
LegendsDragon,MMORPG,16676,84
ShadowWarrior,FPS,68185,56
GalaxyShadow,Battle Royale,18195,25
EmpireKingdom,Plataforma,16921,46
EmpireKingdom,RPG,11453,22
WarriorDragon,Battle Royale,57203,82
ShadowShadow,RPG,50946,80
HeroHero,MMORPG,66401,20
ChronicleKingdom,RPG,29250,43
KingdomHero,Simulación,2558,49
AdventureQuest,Deportes,24486,98
GalaxyFantasy,Estrategia,45253,96
ShadowWarrior,Deportes,8346,4
AdventureShadow,Simulación,49768,79
ShadowGalaxy,Puzzle,25872,52
KingdomAdventure,Estrategia,44499,100
ShadowKingdom,Plataforma,46449,97
WarriorShadow,Simulación,51515,31
ChronicleWarrior,Puzzle,68738,54
ChronicleEmpire,Battle Royale,27126,18
HeroDragon,Puzzle,51813,43
QuestWarrior,RPG,64310,39
ShadowAdventure,Battle Royale,57004,15
AdventureLegends,Carreras,37099,1
AdventureQuest,RPG,56077,16
ShadowChronicle,Deportes,15197,28
FantasyQuest,FPS,6883,63
DragonHero,Acción,11742,61
GalaxyLegends,FPS,42302,1
GalaxyEmpire,Carreras,35342,2
QuestAdventure,Puzzle,49752,66
LegendsAdventure,Simulación,6562,90
HeroQuest,Battle Royale,34033,32
ShadowLegends,Estrategia,64369,34
DragonQuest,MMORPG,20222,15
GalaxyDragon,Carreras,14625,94
ShadowFantasy,FPS,26120,46
KingdomLegends,MMORPG,27811,6
LegendsQuest,Carreras,26188,91
DragonQuest,MMORPG,30019,43
WarriorLegends,MMORPG,52614,24
HeroLegends,Aventura,2886,45
KingdomLegends,Plataforma,12545,47
AdventureAdventure,Battle Royale,11523,17
ShadowHero,Acción,17546,49
HeroKingdom,Puzzle,29696,7
ShadowFantasy,Deportes,13804,61
ShadowShadow,MMORPG,32110,14
DragonEmpire,Aventura,42674,24
EmpireQuest,FPS,22851,45
HeroKingdom,Acción,18825,37
EmpireKingdom,Acción,26602,16
KingdomLegends,Carreras,30841,38
DragonShadow,Aventura,536,92
LegendsWarrior,MMORPG,15627,98
HeroAdventure,Plataforma,24452,5
LegendsLegends,Acción,14355,87
EmpireChronicle,Estrategia,49354,99
AdventureKingdom,MMORPG,31148,50
FantasyGalaxy,Battle Royale,11218,93
ChronicleQuest,Deportes,60824,40
FantasyKingdom,Simulación,30031,7
LegendsLegends,MMORPG,23409,98
ShadowFantasy,Battle Royale,60176,42
LegendsShadow,Simulación,19924,10
FantasyDragon,MMORPG,18119,11
LegendsKingdom,FPS,7798,2
EmpireEmpire,MMORPG,52302,98
ChronicleDragon,Aventura,15781,63
GalaxyGalaxy,RPG,27452,34
KingdomEmpire,Estrategia,36938,62
AdventureFantasy,Carreras,28103,37
WarriorWarrior,FPS,23674,80
FantasyShadow,Estrategia,30197,1
WarriorQuest,Estrategia,52007,40
GalaxyKingdom,MMORPG,47822,38
FantasyQuest,Aventura,13964,68
EmpireFantasy,Aventura,61370,11
GalaxyDragon,RPG,65095,66
DragonQuest,RPG,61804,86
AdventureHero,Aventura,39365,73
LegendsShadow,Deportes,68024,75
GalaxyEmpire,Puzzle,12193,79
EmpireGalaxy,Battle Royale,18820,65
ChronicleFantasy,Carreras,26852,43
GalaxyHero,Puzzle,44025,97
EmpireKingdom,MMORPG,55766,97
EmpireDragon,Simulación,41892,23
HeroWarrior,MMORPG,64292,49
AdventureGalaxy,FPS,56405,91
KingdomQuest,MMORPG,3784,13
ChronicleDragon,Estrategia,40913,83
ShadowKingdom,MMORPG,4038,16
HeroGalaxy,Puzzle,59544,33
ShadowFantasy,Estrategia,47963,42
DragonWarrior,Estrategia,7147,25
LegendsEmpire,Deportes,3263,88
EmpireEmpire,Puzzle,9212,42
WarriorKingdom,Plataforma,12489,84
DragonHero,Estrategia,19836,15
DragonQuest,Battle Royale,20503,83
EmpireChronicle,Aventura,16897,25
KingdomKingdom,Deportes,31608,30
AdventureChronicle,Deportes,13948,18
KingdomEmpire,Acción,46565,2
EmpireEmpire,Battle Royale,62848,77
QuestChronicle,Aventura,13755,90
DragonGalaxy,Estrategia,63722,58
LegendsAdventure,Estrategia,17913,35
DragonEmpire,RPG,42991,56
FantasyShadow,Aventura,44999,62
GalaxyHero,Puzzle,17240,52
AdventureEmpire,Deportes,18798,55
ShadowQuest,Acción,45885,71
LegendsChronicle,Aventura,38000,48
LegendsEmpire,FPS,65218,64
QuestHero,RPG,32110,97
WarriorFantasy,FPS,57916,99
DragonFantasy,Simulación,54311,43
LegendsDragon,Aventura,31462,9
FantasyChronicle,Carreras,2757,87
DragonGalaxy,Estrategia,13153,14
ChronicleShadow,Acción,41230,47
WarriorKingdom,MMORPG,63513,18
LegendsShadow,Battle Royale,17434,62
AdventureFantasy,Carreras,13935,0
QuestShadow,Deportes,41242,40
ShadowFantasy,MMORPG,20720,80
HeroAdventure,Puzzle,20275,57
LegendsGalaxy,Estrategia,42087,60
DragonWarrior,Carreras,59261,83
LegendsEmpire,Acción,59833,99
AdventureKingdom,MMORPG,42952,26
LegendsShadow,Acción,44687,72
QuestAdventure,Plataforma,23688,70
ShadowQuest,Deportes,31476,38
DragonShadow,Deportes,10935,3
ShadowGalaxy,Simulación,63214,54
HeroGalaxy,Acción,52778,48
FantasyChronicle,MMORPG,42203,37
ChronicleWarrior,Plataforma,66515,32
ShadowWarrior,Estrategia,54461,83
ShadowAdventure,Acción,33565,51
EmpireGalaxy,Estrategia,68233,74
LegendsFantasy,Simulación,50026,81
AdventureLegends,Carreras,23805,11
ShadowEmpire,RPG,34070,86
HeroLegends,Deportes,58654,23
QuestHero,FPS,10309,13
GalaxyDragon,FPS,29249,76
HeroHero,Simulación,2065,36
ShadowLegends,MMORPG,24694,82
DragonGalaxy,Carreras,26889,32
DragonDragon,RPG,37171,67
GalaxyGalaxy,MMORPG,56858,9
WarriorDragon,Deportes,47919,48
WarriorKingdom,Deportes,36391,43
WarriorLegends,Plataforma,61856,22
FantasyKingdom,Battle Royale,16021,23
WarriorKingdom,Acción,67999,65
LegendsHero,Acción,39548,86
WarriorKingdom,Aventura,23152,60
WarriorHero,Deportes,11522,100
AdventureLegends,Estrategia,5138,86
WarriorLegends,Simulación,10693,91
FantasyLegends,Estrategia,60958,45
QuestChronicle,Acción,25456,33
FantasyLegends,Simulación,18781,85
DragonKingdom,Carreras,47349,100
ShadowGalaxy,Puzzle,47080,40
KingdomShadow,Deportes,41386,2
ShadowKingdom,MMORPG,40052,89
GalaxyKingdom,Aventura,36224,82
ChronicleShadow,FPS,19280,63
ChronicleHero,Plataforma,41498,93
EmpireDragon,Puzzle,15033,40
ChronicleDragon,Carreras,24153,31
EmpireFantasy,Estrategia,61122,12
ChronicleAdventure,Battle Royale,57326,95
WarriorEmpire,Deportes,11312,18
AdventureChronicle,Aventura,12086,70
WarriorHero,Acción,9284,14
LegendsEmpire,Deportes,58568,9
GalaxyLegends,Aventura,36857,87
FantasyHero,Battle Royale,66307,32
HeroAdventure,Puzzle,51930,71
AdventureEmpire,Plataforma,10809,35
QuestWarrior,Plataforma,25000,50
EmpireGalaxy,Plataforma,47233,68
ChronicleWarrior,Plataforma,4204,32
EmpireHero,FPS,30097,54
KingdomEmpire,Puzzle,5871,36
DragonHero,Aventura,49152,18
KingdomDragon,Battle Royale,35824,59
KingdomGalaxy,FPS,6396,95
EmpireKingdom,Carreras,12245,72
QuestDragon,Aventura,6040,61
ShadowGalaxy,Simulación,66929,62
FantasyLegends,Battle Royale,44446,45
QuestDragon,Puzzle,37130,94
QuestGalaxy,Estrategia,13105,95
LegendsQuest,Deportes,22916,6
DragonDragon,Battle Royale,36470,16
LegendsLegends,RPG,17873,58
DragonFantasy,Carreras,8877,87
FantasyAdventure,RPG,43994,41
WarriorShadow,Acción,1208,62
DragonAdventure,Plataforma,8848,99
ShadowChronicle,Simulación,32460,89
WarriorGalaxy,Plataforma,22454,13
LegendsKingdom,Plataforma,27378,56
AdventureKingdom,Puzzle,24667,56
EmpireShadow,Carreras,46260,71
GalaxyChronicle,Acción,23244,97
QuestEmpire,Battle Royale,45093,49
ChronicleDragon,Puzzle,41785,66
WarriorWarrior,RPG,54958,28
FantasyQuest,RPG,5843,7
QuestWarrior,Acción,2218,62
QuestChronicle,Estrategia,34329,47
DragonHero,Simulación,49889,23
WarriorWarrior,RPG,45587,55
